id,name,path,state,created_at,updated_at
295751454,Free 15m S/R Equity Universe Feature Search,.github/workflows/sr-15m-equity-universe-feature-search.yml,active,2026-06-14T14:21:01.000+02:00,2026-06-14T14:21:01.000+02:00
295784440,SP500 Only Outperforming Study Finder,.github/workflows/sp500-only-outperforming-study-finder.yml,active,2026-06-14T15:54:19.000+02:00,2026-06-14T15:54:19.000+02:00
295803532,Body Wick S/R 15m 20 Equities Plus SPY Backtest,.github/workflows/body-wick-sr-15m-21symbols-backtest.yml,active,2026-06-14T16:44:42.000+02:00,2026-06-14T16:44:42.000+02:00
296525584,Body Wick S/R 15m Overnight Age Sweep,.github/workflows/body-wick-sr-15m-overnight-age-sweep.yml,active,2026-06-15T22:12:59.000+02:00,2026-06-15T22:12:59.000+02:00
296724240,Body Wick Selected Prior Period,.github/workflows/body-wick-selected-prior-period.yml,active,2026-06-16T07:23:26.000+02:00,2026-06-16T07:23:26.000+02:00
296732659,SP500 26 Paper Replication Backtest,.github/workflows/sp500-26-paper-replication-backtest.yml,active,2026-06-16T07:42:38.000+02:00,2026-06-16T07:42:38.000+02:00
296913129,SP500 26 Paper Locked Strategy Report,.github/workflows/sp500-26-paper-locked-strategy-report.yml,active,2026-06-16T13:43:57.000+02:00,2026-06-16T13:43:57.000+02:00
296976463,SPY Weekly LongShort Locked Strategy Report,.github/workflows/spy-weekly-longshort-locked-strategy-report.yml,active,2026-06-16T15:34:53.000+02:00,2026-06-16T15:34:53.000+02:00
297159103,SP500 Event Study Factory Core 1950,.github/workflows/sp500-event-study-factory-core1950.yml,active,2026-06-16T21:08:20.000+02:00,2026-06-16T21:08:20.000+02:00
297163543,SPY Weekly No-Leverage 50 Ideas Nightly Until 0700,.github/workflows/spy-weekly-noleverage-50ideas-nightly-until-0700.yml,active,2026-06-16T21:17:29.000+02:00,2026-06-16T21:17:29.000+02:00
297179884,SPY Weekly No-Leverage 50 Ideas V2 Nightly Until 0700,.github/workflows/spy-weekly-noleverage-50ideas-v2-nightly-until-0700.yml,active,2026-06-16T21:50:45.000+02:00,2026-06-16T21:50:45.000+02:00
298484021,SPY Weekly No-Leverage Global Random Nightly Until 0700,.github/workflows/spy-weekly-noleverage-global-random-nightly-until-0700.yml,active,2026-06-18T21:36:52.000+02:00,2026-06-18T21:36:52.000+02:00
299331767,SPY Weekly Global Random Yearly Outperformance,.github/workflows/spy-weekly-global-random-yearly-outperformance.yml,active,2026-06-20T14:46:58.000+02:00,2026-06-20T14:46:58.000+02:00
299350108,SPY Weekly Global Random Train Yearly Calmar,.github/workflows/spy-weekly-global-random-train-yearly-calmar.yml,active,2026-06-20T15:50:34.000+02:00,2026-06-20T15:50:34.000+02:00
